Version,File_Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Bugginess
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,42,55,2,0,2,51,47,25.50,47,47,23.50,179,90,89.50,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,156,223,4,0,3,203,185,50.75,183,185,45.75,247,91,61.75,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,43,49,1,0,1,49,49,49.00,49,49,49.00,92,92,92.00,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,41,50,1,0,1,50,50,50.00,50,50,50.00,93,93,93.00,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,78,102,2,0,2,100,97,50.00,98,97,49.00,156,94,78.00,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,120,138,1,0,1,138,138,138.00,138,138,138.00,95,95,95.00,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,35,43,1,0,1,43,43,43.00,43,43,43.00,96,96,96.00,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,35,42,1,0,1,42,42,42.00,42,42,42.00,97,97,97.00,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,50,56,1,0,1,56,56,56.00,56,56,56.00,98,98,98.00,35,Yes
1,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,47,53,2,0,2,52,51,26.00,51,51,25.50,190,99,95.00,35,No
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,35,41,1,0,1,41,41,41.00,41,41,41.00,100,100,100.00,35,No
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,90,118,2,0,2,111,104,55.50,104,104,52.00,193,101,96.50,35,No
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,46,54,1,0,1,54,54,54.00,54,54,54.00,102,102,102.00,35,No
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,141,164,2,0,2,163,162,81.50,162,162,81.00,196,103,98.00,35,Yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,5842,18077,2,0,2,12222,6127,6111.00,6367,6095,3183.50,95,94,47.50,14,Yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,123,157,2,0,2,155,153,77.50,153,153,76.50,199,104,99.50,35,No
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,37,43,1,0,1,43,43,43.00,43,43,43.00,105,105,105.00,35,Yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,35,43,2,0,2,42,41,21.00,41,41,20.50,202,106,101.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,79,205,3,0,2,155,104,51.67,105,104,35.00,267,107,89.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,84,191,5,0,3,148,103,29.60,105,103,21.00,334,108,66.80,35,Yes
