Version,File_Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Bugginess
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalNodeVisitor2.java,55,123,4,0,1,94,61,23.50,65,61,16.25,27,9,6.75,8,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalTreeFactory.java,29,34,2,0,1,33,32,16.50,32,32,16.00,376,352,188.00,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalTreeUtil.java,332,519,9,0,1,435,353,48.33,351,353,39.00,498,353,55.33,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/EvalType.java,70,128,8,0,1,105,63,13.13,82,63,10.25,79,26,9.88,13,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/FieldEval.java,128,167,5,0,1,153,147,30.60,139,147,27.80,499,354,99.80,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/FunctionEval.java,146,4,1,0,1,2,2,2.00,0,0,0,31,31,31.00,2289,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/GeneralFunctionEval.java,84,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/InEval.java,93,124,3,0,1,118,113,39.33,112,113,37.33,47,32,15.67,11,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/InvalidCastException.java,32,36,1,0,1,36,36,36.00,36,36,36.00,357,357,357.00,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/InvalidEvalException.java,32,36,1,0,1,36,36,36.00,36,36,36.00,358,358,358.00,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/IsNullEval.java,89,155,4,0,1,130,113,32.50,105,113,26.25,424,359,106.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/LikePredicateEval.java,43,49,1,0,1,49,49,49.00,49,49,49.00,12,12,12.00,8,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/NotEval.java,91,207,6,0,1,151,117,25.17,95,117,15.83,442,361,73.67,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/PartialBinaryExpr.java,71,88,3,0,1,85,82,28.33,82,82,27.33,430,362,143.33,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/PatternMatchPredicateEval.java,76,94,2,0,1,92,90,46.00,90,90,45.00,49,36,24.50,8,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/RegexPredicateEval.java,48,55,2,0,1,54,53,27.00,53,53,26.50,19,14,9.50,8,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/RowConstantEval.java,66,30,1,0,1,11,11,11.00,-8,-8,-8.00,37,37,37.00,2289,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/SimilarToPredicateEval.java,37,43,1,0,1,43,43,43.00,43,43,43.00,15,15,15.00,8,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/exception/AmbiguousFieldException.java,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/exception/IllegalQueryStatusException.java,31,38,1,0,1,38,38,38.00,38,38,38.00,364,364,364.00,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/exception/InvalidQueryException.java,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/exception/NoSuchColumnException.java,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/exception/RangeOverflowException.java,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/exception/UndefinedFunctionException.java,30,36,2,0,1,35,34,17.50,34,34,17.00,498,488,249.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/exception/VerifyException.java,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/AggFunction.java,41,2,1,0,1,1,1,1.00,0,0,0,38,38,38.00,2289,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/Country.java,32,46,2,0,1,42,40,21.00,38,40,19.00,381,369,190.50,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/FunctionContext.java,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/GeneralFunction.java,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/InCountry.java,36,50,2,0,1,46,44,23.00,42,44,21.00,385,370,192.50,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/AvgDouble.java,76,120,3,0,1,104,86,34.67,88,86,29.33,426,371,142.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/AvgFloat.java,30,141,3,0,1,88,85,29.33,35,85,11.67,429,372,143.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/AvgInt.java,31,142,3,0,1,89,85,29.67,36,85,12.00,432,373,144.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/AvgLong.java,75,119,3,0,1,103,85,34.33,87,85,29.00,435,374,145.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/CountRows.java,63,83,3,0,1,79,75,26.33,75,75,25.00,438,375,146.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/CountValue.java,39,48,4,0,1,46,40,11.50,44,40,11.00,452,376,113.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/CountValueDistinct.java,64,76,2,0,1,75,74,37.50,74,74,37.00,33,22,16.50,7,Yes
